Name,Location,Latitude,Longitude,Has_Valid_Coords
Alumni 1,"New York, USA",40.587340118847365,-73.55528569359008,True
Alumni 2,"London, UK",51.7393939418114,-0.029141515802963397,True
Alumni 3,"Tokyo, Japan",35.33221864044244,139.3062945203362,True
Alumni 4,"Sydney, Australia",-34.3107163878318,151.57547614577496,True
Alumni 5,"Rio de Janeiro, Brazil",-22.805684988256793,-42.96482742220395,True
Alumni 6,"Cape Town, South Africa",-34.4043155057042,18.894009852161993,True
Alumni 7,"Moscow, Russia",56.08824264080042,37.32963911067828,True
Alumni 8,"Beijing, China",39.5860249672071,116.09080450985343,True
Alumni 9,"Mumbai, India",18.88024224295954,72.90245643163225,True
Alumni 10,"Paris, France",48.78854501864212,2.143429140198042,True
Alumni 11,"New York, USA",40.824652894722384,-74.36650613934796,True
Alumni 12,"London, UK",51.29954464853522,-0.2614381567063083,True
Alumni 13,"Tokyo, Japan",35.63226998421704,139.935475961393,True
Alumni 14,"Sydney, Australia",-34.169126217841644,151.22353443841362,True
Alumni 15,"Rio de Janeiro, Brazil",-22.814385431137957,-43.62644958728,True
Alumni 16,"Cape Town, South Africa",-33.817355148098564,18.09462412368729,True
Alumni 17,"Moscow, Russia",55.32085159298528,38.06618553725333,True
Alumni 18,"Beijing, China",40.36983203307456,116.71579734811645,True
Alumni 19,"Mumbai, India",18.880613769173372,72.47537211400639,True
Alumni 20,"Paris, France",49.04083302651216,2.2923524937396014,True
Alumni 21,"New York, USA",40.33483823484478,-74.01082308988873,True
Alumni 22,"London, UK",51.041788521115215,0.28152040207878204,True
Alumni 23,"Tokyo, Japan",35.434979981600016,139.81282228435396,True
Alumni 24,"Sydney, Australia",-34.05708892391059,151.22936802117783,True
Alumni 25,"Rio de Janeiro, Brazil",-22.86008972065672,-43.488045544474474,True
Alumni 26,"Cape Town, South Africa",-33.45531537223544,18.699232823361115,True
Alumni 27,"Moscow, Russia",56.19529894156419,38.01212735042765,True
Alumni 28,"Beijing, China",40.00209997881109,116.8292742350231,True
Alumni 29,"Mumbai, India",18.66449250205192,72.57368286241915,True
Alumni 30,"Paris, France",48.40182728891054,2.1775303307632643,True
Alumni 31,"New York, USA",40.601477289689484,-74.2346509682261,True
Alumni 32,"London, UK",51.836137509151925,-0.27104667330641075,True
Alumni 33,"Tokyo, Japan",35.457134509687386,139.69299608315825,True
Alumni 34,"Sydney, Australia",-34.22787577502524,151.51149698075406,True
Alumni 35,"Rio de Janeiro, Brazil",-23.33224935632023,-42.68601306339948,True
Alumni 36,"Cape Town, South Africa",-33.652655230703346,18.12281568153417,True
Alumni 37,"Moscow, Russia",55.261322117123605,37.93276142845483,True
Alumni 38,"Beijing, China",40.11105734384762,116.63640716804099,True
Alumni 39,"Mumbai, India",19.347270346685946,72.45174465173409,True
Alumni 40,"Paris, France",48.715065728544275,1.9680690595251296,True
Alumni 41,"New York, USA",41.075903425875595,-73.88270187317244,True
Alumni 42,"London, UK",51.33829802485265,-0.5642416497139764,True
Alumni 43,"Tokyo, Japan",35.487182321715665,139.47548332202675,True
